date,close
2015-06-17,121.43
2015-06-18,122.69
2015-06-19,122.01
2015-06-22,124.98
2015-06-23,126.17
2015-06-24,126.09
2015-06-25,125.5
2015-06-26,125.94
2015-06-29,121.85
2015-06-30,120.67
2015-07-01,122.56
2015-07-02,121.96
2015-07-06,118.41
2015-07-07,119.4
2015-07-08,118.63
2015-07-09,120.4
2015-07-10,126.61
2015-07-13,126.66
2015-07-14,127.05
2015-07-15,127.18
2015-07-16,128.43
2015-07-17,128.5
2015-07-20,128.51
2015-07-21,128.07
2015-07-22,127.47
2015-07-23,125.8
2015-07-24,124.39
2015-07-27,123.34
2015-07-28,123.8
2015-07-29,125.09
2015-07-30,119.9
2015-07-31,119.55
2015-08-03,120.15
2015-08-04,119.63
2015-08-05,121.76
2015-08-06,121.89
2015-08-07,120.62
2015-08-10,121.95
2015-08-11,120.95
2015-08-12,119.24
2015-08-13,118.96
2015-08-14,117.32
2015-08-17,116.76
2015-08-18,116.94
2015-08-19,114.54
2015-08-20,112.15
2015-08-21,108.96
2015-08-24,107.46
2015-08-25,106.17
2015-08-26,108.18
2015-08-27,110.32
2015-08-28,109.89
2015-08-31,108.91
2015-09-01,106.07
2015-09-02,108.26
2015-09-03,107.84
2015-09-04,105.9
2015-09-08,107.94
2015-09-09,108.06
2015-09-10,108.13
2015-09-11,107.55
2015-09-14,106.4
2015-09-15,108.04
2015-09-16,115.43
2015-09-17,114.81
2015-09-18,114.33
2015-09-21,110.46
2015-09-22,107.47
2015-09-23,107.82
2015-09-24,106.86
2015-09-25,109.51
2015-09-28,105.72
2015-09-29,103.86
2015-09-30,106.32
2015-10-01,106.67
2015-10-02,110.04
2015-10-05,110.74
2015-10-06,109.6
2015-10-07,110.96
2015-10-08,110.69
2015-10-09,111.88
2015-10-12,111.49
2015-10-13,113.83
2015-10-14,115.43
2015-10-15,115.26
2015-10-16,115.1
2015-10-19,116.13
2015-10-20,116.03
2015-10-21,114.13
2015-10-22,117.27
2015-10-23,118.73
2015-10-26,117.9
2015-10-27,117.21
2015-10-28,118.73
2015-10-29,117.74
2015-10-30,119.33
